url,section,template,templateName,disposition
"https://mykp.kp.org/en/hr/work-at-kp/labor-contracts/local-contracts.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/labor-contracts/my-agreements.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/personal-information/personal-data-change.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/work-environment-issues/report-issue.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/hr/work-at-kp/workplace-safety/disability-resources-and-job-accommodations.html","hr","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/maui-health.html","maui-health.html","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/news","news","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/news.html?type=all-news","news.html","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/profile-preferences.html","profile-preferences.html","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/en/tasks.html","tasks.html","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/en/tools/all-tools.html","tools","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/tools/favorites.html","tools","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/en/tools/tools-sort.html","tools","M2","Authenticated intranet content (HR / procurement / tools)","exclude"
"https://mykp.kp.org/etc.clientlibs/kp-comms/components/content/media-text-wrap/clientlibs.min.d41d8cd98f00b204e9800998ecf8427e.css","kp-comms","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/kp-comms/components/content/value-prop/clientlibs.min.d41d8cd98f00b204e9800998ecf8427e.css","kp-comms","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/org/kp/mykp/mykp-aem-base/clientlibs/clientlib-dependencies.min.cfef4d1b7c47f16f6bf7748de5fe62c5.css","org","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/org/kp/mykp/mykp/clientlibs/clientlib-all.min.760383bcd657d75e12dd23f4a4544782.css","org","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/org/kp/mykp/mykp/clientlibs/clientlib-site/resources/apple-touch-icon-120x120.png","org","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/org/kp/mykp/mykp/clientlibs/clientlib-site/resources/apple-touch-icon-152x152.png","org","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/org/kp/mykp/mykp/clientlibs/clientlib-site/resources/apple-touch-icon-167x167.png","org","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/org/kp/mykp/mykp/clientlibs/clientlib-site/resources/apple-touch-icon-180x180.png","org","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/etc.clientlibs/org/kp/mykp/mykp/clientlibs/clientlib-site/resources/icon-192x192.png","org","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
"https://mykp.kp.org/sign-in.html","(home)","M3","Auth / utility / assets (sign-in, clientlibs, feedback)","exclude"
